layer,comparison,x,y,color,label
bar,Sotorasib 1 µM,5,,Sotorasib,
bar,Sotorasib 1 µM,-15,,Sotorasib,
bar,RMC 30 nM,1850,,RMC-7977,
bar,RMC 30 nM,-1572,,RMC-7977,
bar,LNP negative control,770,,Negative control,
bar,LNP negative control,-138,,Negative control,
bar,LNP positive control,2079,,Positive control,
bar,LNP positive control,-4087,,Positive control,
bar,Sensor high,2,,Circuit,
bar,Sensor high,-13,,Circuit,
bar,Sensor high + Casp3,168,,Circuit,
bar,Sensor high + Casp3,-87,,Circuit,
point,RMC-7977 30 nM,2.63719430605594,24.73032871994118,DE (RMC),
point,RMC-7977 30 nM,-2.98118357015347,24.710150182345718,DE (RMC),
point,RMC-7977 30 nM,-2.69085843151672,24.709298685498684,DE (RMC),
point,RMC-7977 30 nM,-4.12700938012236,24.678111427721465,DE (RMC),
point,RMC-7977 30 nM,1.90060205481647,24.677422262580297,DE (RMC),
point,RMC-7977 30 nM,-3.24094667359465,24.607619884123043,DE (RMC),
point,RMC-7977 30 nM,-2.54879928621106,24.607619884123043,DE (RMC),
point,RMC-7977 30 nM,2.23659838080556,24.572985858230883,DE (RMC),
point,RMC-7977 30 nM,5.67815364396535,24.572329743072014,DE (RMC),
point,RMC-7977 30 nM,-2.50344785843301,24.546967841867886,DE (RMC),
point,RMC-7977 30 nM,-2.58101665883935,24.53932348248334,DE (RMC),
point,RMC-7977 30 nM,2.19955374159026,24.52668432715236,DE (RMC),
point,RMC-7977 30 nM,2.71842119475731,24.485956680731345,DE (RMC),
point,RMC-7977 30 nM,-2.47217689597636,24.482771089388386,DE (RMC),
point,RMC-7977 30 nM,2.67606878232715,24.458910312921855,DE (RMC),
point,RMC-7977 30 nM,2.0973387519483,24.43771326566027,DE (RMC),
point,RMC-7977 30 nM,1.96866528097359,24.437498181254192,DE (RMC),
point,RMC-7977 30 nM,3.39724294292728,24.432056919389442,DE (RMC),
point,RMC-7977 30 nM,1.79659634933355,24.43112613283167,DE (RMC),
point,RMC-7977 30 nM,-2.61145795068158,24.429957857053125,DE (RMC),
point,RMC-7977 30 nM,-3.82503276526967,24.41980658058658,DE (RMC),
point,RMC-7977 30 nM,5.06108840866489,24.415466058839982,DE (RMC),
point,RMC-7977 30 nM,2.13416879508049,24.407766089590353,DE (RMC),
point,RMC-7977 30 nM,2.1429427914951,24.407569524095894,DE (RMC),
point,RMC-7977 30 nM,4.13205749186525,24.35793927370964,DE (RMC),
point,RMC-7977 30 nM,-3.1977751519789,24.34062378463178,DE (RMC),
point,RMC-7977 30 nM,-2.27294213097327,24.32474086127106,DE (RMC),
point,RMC-7977 30 nM,-2.38923663349639,24.3112334486234,DE (RMC),
point,RMC-7977 30 nM,1.8440025217728,24.30770598070679,DE (RMC),
point,RMC-7977 30 nM,-4.31293169012223,24.227651218305894,DE (RMC),
point,RMC-7977 30 nM,-3.78378935805432,24.225762420597103,DE (RMC),
point,RMC-7977 30 nM,2.03511174629512,24.219598611230303,DE (RMC),
point,RMC-7977 30 nM,-2.68219665296462,24.20964112618919,DE (RMC),
point,RMC-7977 30 nM,2.33918319989027,24.207591308867325,DE (RMC),
point,RMC-7977 30 nM,-2.27481506052511,24.195786616107128,DE (RMC),
point,RMC-7977 30 nM,-2.30260334500619,24.177118006836515,DE (RMC),
point,RMC-7977 30 nM,-2.37086012477658,24.165791466607942,DE (RMC),
point,RMC-7977 30 nM,-3.49556293779988,24.10843787204753,DE (RMC),
point,RMC-7977 30 nM,2.16881804312681,24.10414146091492,DE (RMC),
point,RMC-7977 30 nM,-2.80016787717641,24.059752009813,DE (RMC),
point,RMC-7977 30 nM,-2.84586415481136,24.041194134902717,DE (RMC),
point,RMC-7977 30 nM,-1.54786155766643,24.041194134902717,DE (RMC),
point,RMC-7977 30 nM,2.13704523455924,24.02553222296027,DE (RMC),
point,RMC-7977 30 nM,1.4687406764085,24.00042724716607,DE (RMC),
point,RMC-7977 30 nM,-3.10029002011971,23.991118242183653,DE (RMC),
point,RMC-7977 30 nM,-2.11751259895546,23.925989626650313,DE (RMC),
point,RMC-7977 30 nM,-2.29662799313511,23.923705247935573,DE (RMC),
point,RMC-7977 30 nM,4.93547036803527,23.918604653893954,DE (RMC),
point,RMC-7977 30 nM,-2.59189034988977,23.89993884255031,DE (RMC),
point,RMC-7977 30 nM,1.70284826803226,23.825858654199923,DE (RMC),
point,RMC-7977 30 nM,-4.74926971512025,23.779000625214554,DE (RMC),
point,RMC-7977 30 nM,-2.81343361357265,23.769834390779064,DE (RMC),
point,RMC-7977 30 nM,-2.71269015718574,23.769834390779064,DE (RMC),
point,RMC-7977 30 nM,-3.35011779238589,23.747165571690303,DE (RMC),
point,RMC-7977 30 nM,-2.01829421716904,23.73604359196015,DE (RMC),
point,RMC-7977 30 nM,1.92389254253749,23.733209164433628,DE (RMC),
point,RMC-7977 30 nM,2.27602866463172,23.725044031354102,DE (RMC),
point,RMC-7977 30 nM,2.68912296437201,23.68403588408518,DE (RMC),
point,RMC-7977 30 nM,1.71113461742759,23.661578375625286,DE (RMC),
point,RMC-7977 30 nM,-2.66363038764967,23.620768759872124,DE (RMC),
point,RMC-7977 30 nM,1.91065779023861,23.610784388016896,DE (RMC),
point,RMC-7977 30 nM,-4.33967773636215,23.59613585925588,DE (RMC),
point,RMC-7977 30 nM,2.35060394266186,23.589506152936252,DE (RMC),
point,RMC-7977 30 nM,-4.67507551959084,23.573231747146703,DE (RMC),
point,RMC-7977 30 nM,-3.89834970886438,23.51624757264531,DE (RMC),
point,RMC-7977 30 nM,2.4635904105765,23.506933332087005,DE (RMC),
point,RMC-7977 30 nM,2.12426417306615,23.500035843050842,DE (RMC),
point,RMC-7977 30 nM,-1.6787718370272,23.493227439208756,DE (RMC),
point,RMC-7977 30 nM,-2.67038350513227,23.465749790203603,DE (RMC),
point,RMC-7977 30 nM,-1.85133704414712,23.465749790203603,DE (RMC),
point,RMC-7977 30 nM,1.84331334795611,23.450379376141434,DE (RMC),
point,RMC-7977 30 nM,3.25429636944198,23.450379376141434,DE (RMC),
point,RMC-7977 30 nM,-1.95878060314351,23.43597439575488,DE (RMC),
point,RMC-7977 30 nM,-3.54190037303316,23.424281751806138,DE (RMC),
point,RMC-7977 30 nM,3.37737818873827,23.391763247001574,DE (RMC),
point,RMC-7977 30 nM,-4.1194557917248,23.389388860926537,DE (RMC),
point,RMC-7977 30 nM,-4.34720297156034,23.381221372217407,DE (RMC),
point,RMC-7977 30 nM,-1.741190954185,23.372605616024185,DE (RMC),
point,RMC-7977 30 nM,-3.30803703653266,23.361684194228253,DE (RMC),
point,RMC-7977 30 nM,9.35707215410755,23.33218282975499,DE (RMC),
point,RMC-7977 30 nM,1.55041896626012,23.274650841876912,DE (RMC),
point,RMC-7977 30 nM,-2.05138577614237,23.253253463146606,DE (RMC),
point,RMC-7977 30 nM,1.87604235912378,23.229493822197572,DE (RMC),
point,RMC-7977 30 nM,-3.04509347822604,23.164532562033735,DE (RMC),
point,RMC-7977 30 nM,-1.90838141862472,23.156696196605807,DE (RMC),
point,RMC-7977 30 nM,-4.30252620772084,23.13496429668073,DE (RMC),
point,RMC-7977 30 nM,-4.39069393439526,23.081569052237086,DE (RMC),
point,RMC-7977 30 nM,2.0138363727502,23.07576753605475,DE (RMC),
point,RMC-7977 30 nM,1.86915456170776,23.039354656930808,DE (RMC),
point,RMC-7977 30 nM,7.73957699753714,23.016338676199023,DE (RMC),
point,RMC-7977 30 nM,1.67328295877297,23.01014683066396,DE (RMC),
point,RMC-7977 30 nM,-3.37956115502964,22.98449030657867,DE (RMC),
point,RMC-7977 30 nM,2.12441543682575,22.971873300585276,DE (RMC),
